Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
AKR1E2,16,63,7.304300589320636e-09,4.815451547428328e-08,0.09003909569947306
AKR7A2,34,13,0.004123594272487196,0.010172164714883823,0.036732959374468806
AKT1S1,127,26,2.136325746062673e-18,1.546930571570358e-17,0.17977222505524393
AKT2,148,31,1.5214337615308305e-21,1.3041605154492016e-20,0.20817610062893083
AKT3,60,25,0.00017526273518457235,0.000622539204588909,0.060938296787353394
ALAD,44,22,0.010720292644434944,0.023283161953277422,0.037769845317015126
ALAS1,34,5,2.038369871074249e-06,1.1670697187873836e-05,0.05182729899711032
ALAS2,8,32,6.692309482561037e-05,0.00027717899561252525,0.045962944076151625
ALCAM,29,7,0.00028345926172180407,0.0009397331550856631,0.03904470508244093
ALDH1L1,30,6,6.19094237246575e-05,0.00025992611839443846,0.04273329933707293
ALDH1L2,30,10,0.002048710493951572,0.005470756436373526,0.035186129525752174
ALDH2,31,8,0.0002640540698855334,0.0008839866298575435,0.04076151623321435
ALDH3B1,7,31,4.099697711361124e-05,0.00018528215536930894,0.04587795342512324
ALDH4A1,38,13,0.000802640619496415,0.0023497186790637737,0.04394016658167601
ALDH7A1,21,7,0.012068953457068876,0.02585982922218011,0.02463029066802652
ALDH8A1,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
ALDH9A1,53,27,0.005214213350522526,0.01244549524763943,0.044552099269080395
ALDOB,44,22,0.010720292644434944,0.023283161953277422,0.037769845317015126
ALG10B,39,18,0.00921040490374965,0.02037440872654474,0.03630800611932688
ALG14,46,15,0.00010086803264047187,0.0003977460970464832,0.05458099609043005
ALG1L,29,5,3.430961624841727e-05,0.00015839588589570567,0.04281828998810131
ALG1L2,29,5,3.430961624841727e-05,0.00015839588589570567,0.04281828998810131
ALG2,43,23,0.021843137916567962,0.04297018482160886,0.03408125106238314
ALG6,45,13,3.518754807695726e-05,0.00016086654399383383,0.05655277919428863
ALG8,12,31,0.0026871049241378904,0.006986658890357139,0.03686894441611423
ALG9,10,37,3.4500133774014386e-05,0.0001588847007108703,0.051793302736698965
ALK,25,7,0.001971607158808617,0.0053016287038474144,0.031837497875233725
ALKBH4,428,152,1.1568458565832127e-59,3.5169050757422446e-58,0.4843787183409825
ALKBH6,164,29,4.3334471563573254e-27,8.237937897996749e-26,0.24077851436342002
ALKBH7,168,45,2.8458416955479455e-20,2.27576414183914e-19,0.21779704232534425
ALKBH8,9,37,1.3167666875028694e-05,6.733129762655122e-05,0.05359510453850076
ALPK2,34,10,0.00034472901550832563,0.0011112127827654077,0.04239333673295938
