Gene,GBM_gain,LGG_gain,pval,FDR
PARVB,11,9,0.8231147798009446,0.8749672822091298
PARVG,11,9,0.8231147798009446,0.8749672822091298
PASD1,8,12,0.37027889753256593,0.4715380720040766
PASK,14,6,0.1139016199639018,0.17748231257707794
PATE2,9,54,4.4310640859231015e-10,3.1038115877981876e-09
PATE3,9,54,4.4310640859231015e-10,3.1038115877981876e-09
PATL1,4,20,0.0006472263749157859,0.0019304956700070056
PATL2,9,5,0.4226607189952972,0.521528114195331
PATZ1,13,10,0.6762547896585908,0.7510719147384053
PAWR,31,8,0.0002640540698855334,0.0008839866298575435
PAX1,175,43,5.78929572605286e-23,6.502890292734618e-22
PAX2,1,2,0.6161934384448456,0.7006885029578778
PAX3,14,7,0.18742643540703754,0.26771639784505324
PAX4,435,164,2.0749823242362935e-57,4.938523699743369e-56
PAX5,34,14,0.0072536103556394655,0.016464085385131784
PAX6,13,13,1.0,1.0
PAX7,40,13,0.00033905338421234105,0.0010981030243909723
PAX8,17,6,0.03388878722533728,0.06171166611866033
PAX9,7,6,1.0,1.0
PAXBP1,34,13,0.004123594272487196,0.010172164714883823
PAXIP1,433,160,1.8472748807052158e-58,5.118519217422681e-57
PBLD,2,1,1.0,1.0
PBOV1,11,1,0.006234091590507687,0.01442137823571233
PBRM1,34,7,2.1766885943814317e-05,0.00010585980994307104
PBX1,54,27,0.0038026787813250874,0.009489636081412456
PBX2P1,35,4,2.737399775611559e-07,1.6411285361331095e-06
PBX3,42,28,0.1386587353301526,0.20844613485367686
PBX4,181,46,3.088230837226238e-23,3.631875545298641e-22
PC,10,27,0.0038669730106557307,0.009642072169023371
PCA3,41,23,0.03879432397539926,0.06912828161634386
PCAT1,42,84,2.5887221486836587e-05,0.00012365594538464117
PCAT2,42,84,2.5887221486836587e-05,0.00012365594538464117
PCAT4,9,4,0.2656173167521872,0.3565782482331588
PCAT6,57,28,0.002240233800649891,0.005933656299499129
PCAT7,43,23,0.021843137916567962,0.04297018482160886
PCBD1,2,1,1.0,1.0
PCBP1,17,6,0.03388878722533728,0.06171166611866033
PCBP2,32,8,0.00016191331805785037,0.0005850852287278144
PCBP3,36,16,0.009891496313328273,0.021800776582560022
PCCA,9,13,0.3917983896250007,0.49140038545083187
PCCB,32,5,6.390278012408753e-06,3.436061410324191e-05
PCDH1,22,9,0.0284785623542344,0.05353499179320218
PCDH10,9,3,0.14505090281306568,0.21580884272306522
PCDH11X,10,14,0.4112613220538969,0.5119156206408981
PCDH15,3,4,0.7198988876612575,0.7901367751879534
PCDH17,3,2,1.0,1.0
PCDH18,12,3,0.03463458748966235,0.06271181079528534
PCDH19,6,14,0.07045759248002104,0.11595968480711846
PCDH20,2,2,1.0,1.0
PCDH7,11,5,0.20868039692590767,0.293085401761272
PCDH8,1,1,1.0,1.0
PCDH9,3,2,1.0,1.0
PCDHA1,23,9,0.019296343833463993,0.038618402410842516
PCDHA14,23,9,0.019296343833463993,0.038618402410842516
PCDHA2,23,9,0.019296343833463993,0.038618402410842516
PCDHB1,24,9,0.01293946193370139,0.027239254180029083
PCDHGA1,24,9,0.01293946193370139,0.027239254180029083
PCDHGC3,23,9,0.019296343833463993,0.038618402410842516
PCDP1,17,6,0.03388878722533728,0.06171166611866033
PCED1B,34,9,0.0001495706990900623,0.0005497437001797738
PCF11,10,34,0.00015281379348093646,0.0005600189239865066
PCGEM1,15,5,0.0406082412561299,0.07194226344043397
PCGF5,3,2,1.0,1.0
PCGF6,1,3,0.36316015387059114,0.4646395630285004
PCID2,14,15,0.8513106856825392,0.8970030083196783
PCK1,177,45,1.3006819788223518e-22,1.3555615515582289e-21
PCLO,433,129,3.284118048614601e-73,1.3187402367404831e-71
PCM1,24,27,0.5689957525061373,0.6610666388752886
PCMT1,12,1,0.0033433814753536578,0.008472983968420727
PCMTD1,28,31,0.5938081801728186,0.6841435557986489
PCNX,7,3,0.3427878632097263,0.4428376885749394
PCNXL2,52,24,0.001881249413374084,0.005062283406208922
PCNXL4,6,4,0.7534252777061385,0.8242835885911554
PCP2,177,47,9.400503717423133e-22,8.198418398853695e-21
PCP4,33,14,0.010490851367756869,0.02289328768395418
PCSK1,24,9,0.01293946193370139,0.027239254180029083
PCSK2,178,42,3.127407179905453e-24,4.385378247228767e-23
PCSK4,184,49,9.842795527074249e-23,1.050597748582808e-21
PCSK5,42,23,0.02922670890519237,0.05470855220468391
PCSK6,14,14,1.0,1.0
PCSK9,41,13,0.00021817971695038533,0.0007510022895165911
PCTP,30,23,0.48175826003087807,0.579035258034712
PCYOX1L,23,9,0.019296343833463993,0.038618402410842516
PCYT1B,11,11,1.0,1.0
PDCD10,38,10,8.358208783225006e-05,0.0003431481123741748
PDCD2,15,1,0.0005001313429922334,0.0015394491717682641
PDCD2L,166,29,1.1302403784187313e-27,2.2511870030626667e-26
PDCD4,2,3,0.680022832919075,0.7531403322108161
PDCD5,165,29,2.215482633235657e-27,4.315449829563307e-26
PDCD6IP,27,10,0.007202344121864641,0.01641974740329154
PDE10A,13,1,0.001783177570548905,0.0048435089083927385
PDE11A,16,4,0.011499379438805801,0.024841438494244177
PDE12,30,5,1.9686386736206496e-05,9.658613394457666e-05
PDE1A,15,6,0.07713921224233394,0.12530845748570807
PDE1B,38,10,8.358208783225006e-05,0.0003431481123741748
PDE1C,428,108,3.0459312512645693e-82,2.345835668281605e-80
PDE2A,10,30,0.0010136500617062875,0.0028913573839895582
PDE3A,46,37,0.4265934182222571,0.5261213726584427
PDE3B,7,17,0.037658048646189296,0.06774659494112013
PDE4A,184,52,2.800624350747396e-21,2.343163036185203e-20
PDE4B,49,14,1.1992526090589881e-05,6.180636816351367e-05
PDE4C,179,47,2.8280184962034106e-22,2.7507242082890425e-21
PDE4D,25,10,0.01594065095283052,0.03269133638430846
PDE5A,11,4,0.11739401838838379,0.18121321494056405
PDE6A,23,9,0.019296343833463993,0.038618402410842516
PDE6C,1,2,0.6161934384448456,0.7006885029578778
PDE6D,15,6,0.07713921224233394,0.12530845748570807
PDE7B,12,1,0.0033433814753536578,0.008472983968420727
PDE8A,9,9,1.0,1.0
PDE8B,23,9,0.019296343833463993,0.038618402410842516
PDE9A,36,15,0.00590793977450673,0.013998964899580635
PDF,16,13,0.7094924117679189,0.77991194846513
